CityEntityId;NomeIta;NomeEng;Hash;Lin;Time;Flags;Size;Road;Pop;Fel;BP;PF;PFB;FUR;TR;TRNE;Beni;BeniP;BeniS;BeniSp;BeniSpB;BeniB;BeniG;Mon;Mat;Med;Dia;GenAtk_A;GenDef_A;GenAtk_D;GenDef_D;CampiAtk_A;CampiDef_A;CampiAtk_D;CampiDef_D;SpedAtk_A;SpedDef_A;SpedAtk_D;SpedDef_D;IQAtk_A;IQDef_A;IQAtk_D;IQDef_D;IQmonB;IQmatB;IQmon;IQmat;IQBeni;IQTruppe;IQAzioni;IQCap;Ally;FSP;TPM;TPB;ADM;MOD;RIN;IMM;Fragments
A_LateMiddleAge_Academy;Accademia;Academy;dd9926079;;;;4x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_LateMiddleAge_Cartographer;Cartografo;Cartographer;ca8f5ca82;;;;3x2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_LateMiddleAge_Library;Biblioteca;Library;c61556aee;;;;4x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_LateMiddleAge_Palace;Palazzo;Palace;52d5d60ea;;;;4x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ModernEra_Culture1;Parco dei divertimenti;Amusement Park;06381ce79;;;;8x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ModernEra_Culture2;Cinema drive-in;Drive-In Theater;d5858156b;;;;6x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ModernEra_Culture3;Tavola calda;American Diner;167484ef9;;;;3x4;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ModernEra_Culture4;Pista di pattinaggio;Roller Derby Track;60e3f33a6;;;;5x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_ArcheologyBonus19;Carosello;Carousel;a6ca522ed;1;;;3x3;1.5;;13630;;;;;;;;;;;;;;;;;;9;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_ArcheologyBonus20;Globo con fontana;Globe Fountain;ee9fb6a79;;;;3x3;1.5;;13630;;;;;;;;;;;;;;;;;;;;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_ArcheologyBonus22a;Distesa di fiori di campo;Wildflower Meadow;3e7340bc9;;;;2x3;1;;8740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_BalloonBonus16;Sito di lancio mongolfiere;Balloon Site;9bcdf7bd3;1;;;3x3;1.5;;11800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_CarnivalBonus19a;Liv. 1 - Torre dell'orologio della Piazza;Lv. 1 - Piazza Clock Tower;a9957f78d;;;;3x2;1;;6290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_CarnivalBonus19b;Liv. 2 - Torre dell'orologio della Piazza;Lv. 2 - Piazza Clock Tower;2a00ed82b;;;;3x2;1;;9090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_ChristmasBonus1;Mercato d'Inverno;Winter Market;184f339f2;1;;;3x2;1;;6290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_ChristmasBonus15;Piramide d'Inverno;Winter Pyramid;0229960a8;1;;;3x3;1.5;;6550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_ChristmasBonusSet1;Porta d'Inverno;Winter Gate;c76d39594;1;;;2x1;0.5;;1980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_CupBonus16;Tribuna;Grandstand;657fc6455;1;;;3x2;1;;4890;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_FallBonus18;Stagno d'autunno;Pond of Fall;e6675adc0;1;;;4x3;1.5;;11530;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_FallBonus20;Campo di primule;Primrose Bloom;041e634bd;1;;;3x2;1;;8740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_GandhiBonus17;Padiglione;Pavilion;f997e9d7d;1;;;4x4;2;;16780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_HalloweenBonus1;Cimitero;Graveyard;cde6fe37f;;;;3x3;1.5;;9750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_HalloweenBonus15;Cimitero leggendario;Legendary Graveyard;954923161;;;;6x3;1.5;;26210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_HalloweenBonus16;Cimitero monumentale;Monumental Graveyard;24a691bf2;;;;7x3;1.5;;33640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_HalloweenBonus16b;Torre stregata;Haunted Tower;358373cc8;1;;;3x3;1.5;;7600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_HalloweenBonus17;Necropoli;Necropolis;579ec5f0f;1;;;7x3;1.5;;36700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_HalloweenBonus2;Vecchio Cimitero;Old Graveyard;723019bf9;;;;4x3;1.5;;13280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_HalloweenBonus3;Antico Cimitero;Ancient Graveyard;d600d6ca6;;;;5x3;1.5;;17910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_HalloweenBonusSet21a;Tazza del terrore - Liv. 1;Terror Teacup - Lv. 1;d0ef0133c;;;;2x3;1;;6290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_HalloweenBonusSet21b;Tazza del terrore - Liv. 2;Terror Teacup - Lv. 2;68e8880c6;;;;2x3;1;;9090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_KhanBonus18;Rotonda botanica;Botanical Rotunda;685c9ef77;1;;;3x3;1.5;;7860;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_MayDayBonus16;Palo di maggio;Maypole;35522e494;;;;2x2;1;;4330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_MayDayBonus17;Possente Palo di maggio;Mighty Maypole;3db0d0df8;;;;3x2;1;;6990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_MayDayBonus17b;Imponente Palo di maggio;Majestic Maypole;33761e631;1;;;3x3;1.5;;11530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_PatrickBonusSet20a;Salice del druido - Liv. 1;Druid Willow - Lv. 1;c311a4f1f;;;;2x3;1;;6290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_PatrickBonusSet20b;Salice del druido - Liv. 2;Druid Willow - Lv. 2;d35b7e5d9;;;;2x3;1;;9090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_SportBonus17;Piazza dei Vincitori - Liv. 1;Winners' Plaza - Lv. 1;81f35c6d7;1;;;3x3;1.5;;10490;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_SportBonus17b;Piazza dei Vincitori - Liv. 2;Winners' Plaza - Lv. 2;84d11294a;1;;;3x3;1.5;;10490;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_SportBonus18;Bagni pubblici decorati;Ornate Baths;09cee78e2;1;;;4x3;1.5;;10490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_SportBonusSet18;Fontana Giardino classico;Classical Garden Pool;21d33ec3d;;;;4x2;1;;12120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_SummerBonus1;Castello di sabbia;Sandcastle;b2de099a4;1;;;3x3;1.5;;6550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_MultiAge_SummerBonusSetB17a;Fontana dell'elefante;Elephant Fountain;db29193e8;;;;4x4;2;;20500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_OceanicFuture_Culture1;Ristorante di pesce;Seafood Restaurant;3c4d5203a;;;;6x5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_OceanicFuture_Culture2;Generatore a vortice;Maelstrom Dynamo;18aecb50d;;;;6x6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_OceanicFuture_Culture3;Centro di recupero Tartarughe;Turtle Rescue Centre;502f1824b;;;;5x5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_OceanicFuture_Culture4;Barriera corallina;Coral Reef;29f65ae57;;;;8x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_OceanicFuture_Culture5;Deposito Scambi;Trading Depot;0e25fe8cd;;;;7x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_OceanicFuture_Culture6;Cupola acquatica;Water Dome;57ee28a2e;;;;4x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_OceanicFuture_Culture7;Naufragio;Shipwreck;d034ee712;;;;6x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_OceanicFuture_Culture8;Parco acquatico;Water Park;fd7711cbd;;;;4x6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_OceanicFuture_Culture9;Covo segreto;Secret Cove;ba8cd135c;;;;4x5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_PostModernEra_Culture1;Festival musicale;Music Festival;f81cc8c13;;;;5x5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_PostModernEra_Culture2;Zoo;Zoo;f47870e37;;;;5x6;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_PostModernEra_Culture3;Piscina pubblica;Public Pool;ef8d8d088;;;;5x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_PostModernEra_Culture4;Campo da golf;Golf Course;112340c66;;;;6x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ProgressiveEra_Culture1;Casa editrice;Publishing House;2d188d387;;;;4x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ProgressiveEra_Culture2;Centrale Elettrica;Electrical Plant;34a9710d6;;;;5x5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ProgressiveEra_Culture3;Parco cittadino;City Park;f80a8ddb4;;;;5x6;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ProgressiveEra_Culture4;Pallone aerostatico;Zeppelin;0e53778b0;;;;3x6;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ProgressiveEra_Culture5;Entrata del metrò;Metro Entrance;48cfb15da;;;;2x1;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_SpaceAgeAsteroidBelt_Culture1;Q.G. estrazione mineraria della fascia;Belt Mining H.Q.;eb2a2358d;;;;5x5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_SpaceAgeAsteroidBelt_Culture2;Mercato azionario dell'asteroide;Asteroid Stock Exchange;f2c433c4d;;;;5x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_SpaceAgeJupiterMoon_Culture1;Museo acquatico;Aquatic Museum;44b684554;;;;5x5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_SpaceAgeJupiterMoon_Culture2;Barretta di alghe rosse;Red Seaweed Bar;3b1f115b0;;;;5x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_SpaceAgeMars_Culture1;Accademia spaziale;Space Academy;553c18116;;;;5x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_SpaceAgeMars_Culture2;Parabola satellitare;Satellite Dish;f79b29bd7;;;;3x4;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_SpaceAgeSpaceHub_Culture1;Vortex Galattico;Galaxy Vortex;54bb0a80e;;;;5x5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_SpaceAgeSpaceHub_Culture2;LU-N-Arcade;LU-N-Arcade;cf6e595c0;;;;3x5;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_SpaceAgeTitan_Culture1;Skate park di ghiaccio;Ice Skate Park;2f0eb2613;;;;5x5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_SpaceAgeTitan_Culture2;Furgoncino del gelato glaciale;Glacial Ice Cream Truck;2a973fd20;;;;5x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_SpaceAgeVenus_Culture1;Taxi del cielo;Sky Taxi;207781ed7;;;;5x5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_SpaceAgeVenus_Culture2;Caffetteria del cielo;Sky Cafe;5162ff573;;;;3x5;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_StellarAgeDiscovery_Culture1;Museo luce stellare;Starlight Museum;0cac82858;;;;4x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_TomorrowEra_Culture1;Arena olografica;Hologram Arena;9aafe7e69;;;;5x5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_TomorrowEra_Culture2;Discoteca aerea;Tower Club;7655ce7b7;;;;5x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_TomorrowEra_Culture3;Nexus Security;Surveillance Nexus;d9079a916;;;;4x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_TomorrowEra_Culture4;Mostra di concept car;Concept Vehicle Fair;510786bcf;;;;6x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_VirtualFuture_Culture1;Bar karaoke;Karaoke Bar;063a3e72b;;;;5x6;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_VirtualFuture_Culture2;Robot gigante;Giant Robot;6099e7136;;;;4x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_VirtualFuture_Culture3;Casinò del dragone;Dragon Casino;ab16aa93d;;;;4x5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_VirtualFuture_Culture4;Corteo;Parade;fa8198019;;;;6x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D_AllAge_HiddenRewardTree;Albero di mele;Apple Tree;2d81f9536;;;;1x1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D_ArcticFuture_Decoration1;Pergolato fiorito;Flower Arbor;bfc1c728e;;;;2x2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D_ArcticFuture_Decoration2;Entrata della metropolitana;Tube Entrance;2f7acdbbe;;;;2x1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D_ArcticFuture_Decoration3;Scultura di ghiaccio;Ice Sculpture;6051b6161;;;;1x1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D_ArcticFuture_Decoration4;Fiore ghiacciato;Ice Flower;924143b8e;;;;1x1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D_BronzeAge_Bushes;Cespuglio;Bush;258193eef;;;;1x1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D_BronzeAge_Flowerfield;Fiori;Flowers;d4fbf262e;;;;1x1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D_BronzeAge_Hedge;Siepe;Hedge;95d70452e;;;;1x1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D_BronzeAge_Obelisk;Obelisco;Pillar;1a87bfc94;;;;1x1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D_BronzeAge_Statue;Statua;Statue;95cca497f;;;;1x1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D_ColonialAge_ClockTower;Torre dell'orologio;Clock Tower;0435a831f;;;;2x2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D_ColonialAge_EagleHedge;Siepe a forma di Aquila;Eagle Hedge;3731631f5;;;;1x1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D_ColonialAge_FlamingoHedge;Siepe a forma di Fenicottero;Flamingo Hedge;41df3d02c;;;;1x1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
